coin_name,value,date,time
Bitcoin,20826.84,2023-07-20,20:48:30
Bitcoin,20825.55,2023-07-20,20:48:34
Bitcoin,20798.85,2023-07-20,20:51:19
Bitcoin,29798.85,2023-07-20,20:51:26
Bitcoin,29801.35,2023-07-20,20:55:21
Bitcoin,39801.35,2023-07-20,20:57:01
Bitcoin,37831.25,2023-07-22,17:42:36
Bitcoin,27831.15,2023-07-22,17:43:05
Bitcoin,86830.53,2023-07-22,17:44:04
Bitcoin,86834.83,2023-07-22,17:50:32
Bitcoin,26835.16,2023-07-22,18:16:38
Bitcoin,26830.81,2023-07-22,18:17:41
Bitcoin,28830.8,2023-07-22,18:18:06
Bitcoin,29167.49,2023-07-24,18:23:41
Bitcoin,29167.14,2023-07-24,18:25:16
Bitcoin,29168.39,2023-07-24,18:26:11
Bitcoin,29167.82,2023-07-24,18:27:15
Bitcoin,29171.92,2023-07-24,18:28:12
Bitcoin,29168.37,2023-07-24,18:37:19
Bitcoin,29169.41,2023-07-24,18:38:23
Bitcoin,29169.48,2023-07-24,18:39:01
Bitcoin,29164.64,2023-07-24,18:41:37
Bitcoin,29158.03,2023-07-24,18:47:58
Bitcoin,29153.29,2023-07-24,18:51:56
Bitcoin,29153.32,2023-07-24,18:54:53
Bitcoin,29159.16,2023-07-24,18:56:22
Bitcoin,29159.03,2023-07-24,18:57:17
Bitcoin,29159.15,2023-07-24,18:58:50
Bitcoin,29164.33,2023-07-24,19:02:49
Bitcoin,29167.08,2023-07-24,19:11:36
Bitcoin,29168.47,2023-07-24,19:11:42
Bitcoin,29168.96,2023-07-24,19:12:28
Bitcoin,29168.96,2023-07-24,19:12:50
Bitcoin,29166.91,2023-07-24,19:13:50
Bitcoin,29166.95,2023-07-24,19:14:12
Bitcoin,29166.95,2023-07-24,19:14:31
Bitcoin,29170.5,2023-07-24,19:16:36
Bitcoin,29170.83,2023-07-24,19:18:05
Bitcoin,29170.97,2023-07-24,19:19:00
Bitcoin,29171.21,2023-07-24,19:20:05
Bitcoin,29173.23,2023-07-24,19:24:06
Bitcoin,29173.42,2023-07-24,19:26:06
Bitcoin,29185.04,2023-07-24,19:28:30
Bitcoin,29186.01,2023-07-24,19:29:33
Bitcoin,29187.18,2023-07-24,19:31:51
Bitcoin,29183.26,2023-07-24,19:34:05
Bitcoin,29181.11,2023-07-24,19:36:40
Bitcoin,29181.54,2023-07-24,19:38:06
Bitcoin,29181.09,2023-07-24,19:39:01
Bitcoin,29181.22,2023-07-24,19:44:44
Bitcoin,29179.61,2023-07-24,19:46:59
Bitcoin,29179.56,2023-07-24,19:47:55
Bitcoin,29178.73,2023-07-24,19:50:18
Bitcoin,29184.53,2023-07-24,19:55:39
Bitcoin,29182.95,2023-07-24,19:57:00
Bitcoin,29182.99,2023-07-24,19:58:10
Bitcoin,29182.99,2023-07-24,19:58:52
Bitcoin,29180.58,2023-07-24,19:59:48
Bitcoin,29174.56,2023-07-24,20:02:18
Bitcoin,29169.02,2023-07-24,20:11:31
Bitcoin,29169.16,2023-07-24,20:13:59
Bitcoin,29169.76,2023-07-24,20:14:53
Bitcoin,29171.8,2023-07-24,20:17:49
Bitcoin,29160.96,2023-07-24,20:18:50
Bitcoin,29158.37,2023-07-24,20:19:33
Bitcoin,29160.32,2023-07-24,20:21:14
Bitcoin,29161.36,2023-07-24,20:23:10
Bitcoin,29163.87,2023-07-24,20:24:15
Bitcoin,29163.71,2023-07-24,20:27:21
Bitcoin,29168.41,2023-07-24,20:28:31
Bitcoin,29168.4,2023-07-24,20:29:10
Bitcoin,29169.78,2023-07-24,20:29:40
Bitcoin,29170.16,2023-07-24,20:31:26
Bitcoin,29170.16,2023-07-24,20:31:37
Bitcoin,29169.95,2023-07-24,20:32:23
Bitcoin,29153.56,2023-07-24,20:38:38
Bitcoin,29150.29,2023-07-24,20:40:52
Bitcoin,29137.21,2023-07-24,20:42:00
Bitcoin,29143.02,2023-07-24,20:42:19
Bitcoin,29143.02,2023-07-24,20:42:24
Bitcoin,29143.02,2023-07-24,20:42:29
Bitcoin,29143.02,2023-07-24,20:42:34
Bitcoin,29143.02,2023-07-24,20:42:39
Bitcoin,29143.02,2023-07-24,20:42:44
Bitcoin,29143.02,2023-07-24,20:42:49
Bitcoin,29143.02,2023-07-24,20:42:54
Bitcoin,29143.02,2023-07-24,20:42:59
Bitcoin,29143.02,2023-07-24,20:43:04
Bitcoin,29143.02,2023-07-24,20:43:09
Bitcoin,29144.55,2023-07-24,20:43:24
Bitcoin,29144.55,2023-07-24,20:43:35
Bitcoin,29144.55,2023-07-24,20:43:40
Bitcoin,29131.06,2023-07-24,20:47:49
